title,description,url,img,tags,trips
Main Camera Body,This is the heart of my setup. It delivers gorgeous high-res shots that make every scene look like it belongs in a movie.,https://amzn.to/45PpqqP,https://ik.imagekit.io/qn1gkawvy/gear/fujifilm-xt4.jpg,filming,tanzania
Main Lens,My go-to lens for most shots—super versatile and perfect for capturing everything from wide landscapes to close-ups.,https://amzn.to/3wGvq57,https://ik.imagekit.io/qn1gkawvy/gear/fuji-xf18-55mm.jpg,filming,
Telephoto Lens,"When you need to zoom in on those far-off details, this lens is a game-changer for storytelling.",https://amzn.to/3MVlYQj,https://ik.imagekit.io/qn1gkawvy/gear/fuji-xf55-200mm.jpg?updatedAt=1719848046742,filming,tanzania
Microphone,This little guy ensures my audio is crisp and clear—makes such a difference in how professional your videos feel.,https://amzn.to/3xrAsBH,https://ik.imagekit.io/qn1gkawvy/gear/rode-videomic-pro.jpg?updatedAt=1719848050086,filming,
Drone,Hands down the best way to add epic aerial views to your footage. It makes any landscape look incredible.,https://amzn.to/4cpYzns,https://ik.imagekit.io/qn1gkawvy/gear/dji-air-3.jpg?updatedAt=1719848049817,filming,
Action Camera,"Perfect for those up-close, adventurous shots that bring viewers right into the action with you.",https://amzn.to/3R8sqYl,https://ik.imagekit.io/qn1gkawvy/gear/gopro.jpg?updatedAt=1719848047994,filming,
Main Tripod,A reliable tripod is essential—it keeps my shots steady no matter where I’m filming.,https://amzn.to/3wFNood,https://ik.imagekit.io/qn1gkawvy/gear/peak-design-tripod.jpg?updatedAt=1719848050885,filming,
Mini Tripod,Compact but sturdy. This little tripod has saved me so many times when I’m shooting on the go.,https://amzn.to/3lGatkx,https://ik.imagekit.io/qn1gkawvy/gear/joby-gorillapod-3k.jpg?updatedAt=1719848048625,filming,
Camera Clip,This is such a lifesaver—keeps my camera secure but within reach for those spontaneous moments.,https://amzn.to/3RwUG7h,https://ik.imagekit.io/qn1gkawvy/gear/peak-design-capture-camera-clip-v3.jpg?updatedAt=1719848049670,filming,
Laptop,I couldn’t get through editing without this. It handles everything from video cuts to color grading like a champ.,https://amzn.to/3Ng5FAl,https://ik.imagekit.io/qn1gkawvy/gear/apple-2023-macbook-pro-laptop-m2-max.jpg?updatedAt=1719848043460,filming,
Phone,Super handy for grabbing extra angles or some casual behind-the-scenes shots.,https://amzn.to/3QrQGnp,https://ik.imagekit.io/qn1gkawvy/gear/apple-iphone-13.jpg?updatedAt=1719848047238,travel filming,
